####################
# Ergebnis:         #
####################
Anzahl Importierter Kontakte:	26
Anzahl aktuallisierten Kontakte:	0
Anzahl Fehler:	48
Fehler 0 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71454, 71502 Record: 1
Fehler 1 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71503, 71455 Record: 2
Fehler 2 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71456, 71504 Record: 3
Fehler 3 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71505, 71457 Record: 4
Fehler 4 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71506, 71458 Record: 5
Fehler 5 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71459, 71507 Record: 6
Fehler 6 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71460, 71508 Record: 9
Fehler 7 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71461, 71509 Record: 11
Fehler 8 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71510, 71462 Record: 12
Fehler 9 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71510, 71462 Record: 13
Fehler 10 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71464, 71512 Record: 16
Fehler 11 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71465, 71513 Record: 19
Fehler 12 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71466, 71514 Record: 20
Fehler 13 :	Zu diesem Kontakt existieren 3 potentielle Duplikate mit den Master IDs: 71515, 71467, 73055 Record: 21
Fehler 14 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71468, 71516 Record: 22
Fehler 15 :	Zu diesem Kontakt existieren 4 potentielle Duplikate mit den Master IDs: 73065, 73066, 71517, 71469 Record: 23
Fehler 16 :	Zu diesem Kontakt existieren 4 potentielle Duplikate mit den Master IDs: 73059, 71470, 71518, 73070 Record: 24
Fehler 17 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71519, 71471 Record: 25
Fehler 18 :	Zu diesem Kontakt existieren 3 potentielle Duplikate mit den Master IDs: 71472, 71520, 73060 Record: 26
Fehler 19 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71473, 71521 Record: 27
Fehler 20 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71474, 71522 Record: 29
Fehler 21 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71523, 71475 Record: 31
Fehler 22 :	Zu diesem Kontakt existieren 3 potentielle Duplikate mit den Master IDs: 71476, 71524, 74157 Record: 33
Fehler 23 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71525, 71477 Record: 34
Fehler 24 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71478, 71526 Record: 36
Fehler 25 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71527, 71479 Record: 37
Fehler 26 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71528, 71480 Record: 38
Fehler 27 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71529, 71481 Record: 40
Fehler 28 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71482, 71530 Record: 42
Fehler 29 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71483, 71531 Record: 44
Fehler 30 :	Zu diesem Kontakt existieren 3 potentielle Duplikate mit den Master IDs: 75380, 71484, 71532 Record: 45
Fehler 31 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71485, 71533 Record: 46
Fehler 32 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71534, 71486 Record: 50
Fehler 33 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71487, 71535 Record: 52
Fehler 34 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71488, 71536 Record: 53
Fehler 35 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71489, 71537 Record: 56
Fehler 36 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71538, 71490 Record: 57
Fehler 37 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71491, 71539 Record: 59
Fehler 38 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71492, 71540 Record: 60
Fehler 39 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71493, 71541 Record: 61
Fehler 40 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71542, 71494 Record: 62
Fehler 41 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71543, 71495 Record: 66
Fehler 42 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71544, 71496 Record: 67
Fehler 43 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71497, 71545 Record: 69
Fehler 44 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71498, 71546 Record: 71
Fehler 45 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71499, 71547 Record: 72
Fehler 46 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71500, 71548 Record: 73
Fehler 47 :	Zu diesem Kontakt existieren 2 potentielle Duplikate mit den Master IDs: 71501, 71549 Record: 74
